start state,state,action,goal state
"(9, 0, 0)","(9, 0, 0)",right,"(0, 5)"
"(9, 0, 0)","(9, 0, 1)",up,"(0, 5)"
"(9, 0, 0)","(9, 1, 1)",up,"(0, 5)"
"(9, 0, 0)","(9, 2, 1)",up,"(0, 5)"
"(9, 0, 0)","(9, 3, 1)",left,"(0, 5)"
"(9, 0, 0)","(9, 3, 0)",up,"(0, 5)"
"(9, 0, 0)","(8, 3, 0)",up,"(0, 5)"
"(9, 0, 0)","(7, 3, 0)",right,"(0, 5)"
"(9, 0, 0)","(7, 3, 1)",up,"(0, 5)"
"(9, 0, 0)","(7, 4, 1)",up,"(0, 5)"
"(9, 0, 0)","(7, 5, 1)",left,"(0, 5)"
"(9, 0, 0)","(7, 5, 0)",up,"(0, 5)"
"(9, 0, 0)","(6, 5, 0)",up,"(0, 5)"
"(9, 0, 0)","(5, 5, 0)",right,"(0, 5)"
"(9, 0, 0)","(5, 5, 1)",up,"(0, 5)"
"(9, 0, 0)","(5, 6, 1)",up,"(0, 5)"
"(9, 0, 0)","(5, 7, 1)",left,"(0, 5)"
"(9, 0, 0)","(5, 7, 0)",up,"(0, 5)"
"(9, 0, 0)","(4, 7, 0)",up,"(0, 5)"
"(9, 0, 0)","(3, 7, 0)",up,"(0, 5)"
"(9, 0, 0)","(2, 7, 0)",up,"(0, 5)"
"(9, 0, 0)","(1, 7, 0)",left,"(0, 5)"
"(9, 0, 0)","(1, 7, 3)",up,"(0, 5)"
"(9, 0, 0)","(1, 6, 3)",up,"(0, 5)"
"(9, 0, 0)","(1, 5, 3)",right,"(0, 5)"
"(9, 0, 0)","(1, 5, 0)",up,"(0, 5)"
"(9, 0, 2)","(9, 0, 2)",left,"(0, 5)"
"(9, 0, 2)","(9, 0, 1)",up,"(0, 5)"
"(9, 0, 2)","(9, 1, 1)",up,"(0, 5)"
"(9, 0, 2)","(9, 2, 1)",up,"(0, 5)"
"(9, 0, 2)","(9, 3, 1)",left,"(0, 5)"
"(9, 0, 2)","(9, 3, 0)",up,"(0, 5)"
"(9, 0, 2)","(8, 3, 0)",up,"(0, 5)"
"(9, 0, 2)","(7, 3, 0)",right,"(0, 5)"
"(9, 0, 2)","(7, 3, 1)",up,"(0, 5)"
"(9, 0, 2)","(7, 4, 1)",up,"(0, 5)"
"(9, 0, 2)","(7, 5, 1)",left,"(0, 5)"
"(9, 0, 2)","(7, 5, 0)",up,"(0, 5)"
"(9, 0, 2)","(6, 5, 0)",up,"(0, 5)"
"(9, 0, 2)","(5, 5, 0)",right,"(0, 5)"
"(9, 0, 2)","(5, 5, 1)",up,"(0, 5)"
"(9, 0, 2)","(5, 6, 1)",up,"(0, 5)"
"(9, 0, 2)","(5, 7, 1)",left,"(0, 5)"
"(9, 0, 2)","(5, 7, 0)",up,"(0, 5)"
"(9, 0, 2)","(4, 7, 0)",up,"(0, 5)"
"(9, 0, 2)","(3, 7, 0)",up,"(0, 5)"
"(9, 0, 2)","(2, 7, 0)",up,"(0, 5)"
"(9, 0, 2)","(1, 7, 0)",left,"(0, 5)"
"(9, 0, 2)","(1, 7, 3)",up,"(0, 5)"
"(9, 0, 2)","(1, 6, 3)",up,"(0, 5)"
"(9, 0, 2)","(1, 5, 3)",right,"(0, 5)"
"(9, 0, 2)","(1, 5, 0)",up,"(0, 5)"
